Symbol,Name,Summary Quote,
AGNCB,AGNC Investment Corp.,https://www.nasdaq.com/symbol/agncb,
AGNCN,AGNC Investment Corp.,https://www.nasdaq.com/symbol/agncn,
AGFS,"AgroFresh Solutions, Inc.",https://www.nasdaq.com/symbol/agfs,
AGFSW,"AgroFresh Solutions, Inc.",https://www.nasdaq.com/symbol/agfsw,
ALRN,"Aileron Therapeutics, Inc.",https://www.nasdaq.com/symbol/alrn,
AIMT,"Aimmune Therapeutics, Inc.",https://www.nasdaq.com/symbol/aimt,
AIRT,"Air T, Inc.",https://www.nasdaq.com/symbol/airt,
ATSG,"Air Transport Services Group, Inc",https://www.nasdaq.com/symbol/atsg,
AIRG,"Airgain, Inc.",https://www.nasdaq.com/symbol/airg,
AMCN,AirMedia Group Inc,https://www.nasdaq.com/symbol/amcn,
AKAM,"Akamai Technologies, Inc.",https://www.nasdaq.com/symbol/akam,
AKTX,Akari Therapeutics Plc,https://www.nasdaq.com/symbol/aktx,
AKCA,"Akcea Therapeutics, Inc.",https://www.nasdaq.com/symbol/akca,
AKBA,"Akebia Therapeutics, Inc.",https://www.nasdaq.com/symbol/akba,
AKER,Akers Biosciences Inc,https://www.nasdaq.com/symbol/aker,
AKRX,"Akorn, Inc.",https://www.nasdaq.com/symbol/akrx,
AKTS,"Akoustis Technologies, Inc.",https://www.nasdaq.com/symbol/akts,
ALRM,"Alarm.com Holdings, Inc.",https://www.nasdaq.com/symbol/alrm,
ALSK,"Alaska Communications Systems Group, Inc.",https://www.nasdaq.com/symbol/alsk,
ALBO,"Albireo Pharma, Inc.",https://www.nasdaq.com/symbol/albo,
ABDC,Alcentra Capital Corp.,https://www.nasdaq.com/symbol/abdc,
ALDR,"Alder BioPharmaceuticals, Inc.",https://www.nasdaq.com/symbol/aldr,
ALDX,"Aldeyra Therapeutics, Inc.",https://www.nasdaq.com/symbol/aldx,
ALXN,"Alexion Pharmaceuticals, Inc.",https://www.nasdaq.com/symbol/alxn,
ALCO,"Alico, Inc.",https://www.nasdaq.com/symbol/alco,
ALGN,"Align Technology, Inc.",https://www.nasdaq.com/symbol/algn,
ALIM,"Alimera Sciences, Inc.",https://www.nasdaq.com/symbol/alim,
ALJJ,"ALJ Regional Holdings, Inc.",https://www.nasdaq.com/symbol/aljj,
ALKS,Alkermes plc,https://www.nasdaq.com/symbol/alks,
ABTX,"Allegiance Bancshares, Inc.",https://www.nasdaq.com/symbol/abtx,
ALGT,Allegiant Travel Company,https://www.nasdaq.com/symbol/algt,
